# Corrected LiDAR trajectory after extrinsic calibration
# timestamp x y theta_in_radians
0.000000 0.000000 0.000000 0.000000
0.010000 0.005669 0.001658 -0.000087
0.020000 0.015605 -0.006876 -0.000118
0.030000 0.023973 -0.003710 -0.000299
0.040000 0.029257 -0.001923 -0.000135
0.050000 0.032941 -0.006869 -0.000220
0.060000 0.029513 -0.002608 -0.000055
0.070000 0.044309 -0.007442 -0.000127
0.080000 0.040992 -0.007290 -0.000227
0.090000 0.058500 -0.010554 -0.000001
0.100000 0.046601 -0.004275 -0.000152
0.110000 0.061229 -0.004240 -0.000106
0.120000 0.057971 -0.005023 -0.000114
0.130000 0.068844 -0.005939 0.000157
0.140000 0.075987 -0.004994 0.000016
0.150000 0.081504 -0.003219 -0.000076
0.160000 0.084142 0.004296 -0.000226
0.170000 0.089940 -0.001421 0.000005
0.180000 0.090008 0.002030 -0.000168
0.190000 0.097410 -0.008002 -0.000140
0.200000 0.101931 -0.001422 -0.000169
0.210000 0.114163 -0.000299 -0.000155
0.220000 0.114331 -0.010125 -0.000164
0.230000 0.118614 -0.002145 -0.000303
0.240000 0.120291 -0.006077 -0.000116
0.250000 0.126554 -0.006701 -0.000147
0.260000 0.128861 -0.005602 -0.000274
0.270000 0.147431 -0.007091 -0.000044
0.280000 0.148698 -0.007884 -0.000145
0.290000 0.151929 -0.002819 -0.000009
0.300000 0.156942 -0.006629 -0.000091
0.310000 0.159749 -0.001294 0.000025
0.320000 0.156704 -0.006909 -0.000001
0.330000 0.166855 -0.006219 -0.000113
0.340000 0.176552 0.001611 -0.000027
0.350000 0.177837 -0.005425 -0.000159
0.360000 0.185848 -0.005812 -0.000191
0.370000 0.191104 -0.004812 -0.000175
0.380000 0.196237 -0.011286 -0.000133
0.390000 0.193193 -0.003625 -0.000092
0.400000 0.210809 -0.010354 -0.000299
0.410000 0.203321 -0.007796 -0.000143
0.420000 0.214146 -0.005856 -0.000185
0.430000 0.216938 -0.008593 -0.000131
0.440000 0.220428 -0.006377 -0.000149
0.450000 0.231208 -0.013704 -0.000109
0.460000 0.237972 -0.011404 -0.000221
0.470000 0.235272 -0.008453 -0.000111
0.480000 0.249127 -0.005451 0.000154
0.490000 0.242083 -0.008743 -0.000005
0.500000 0.251951 0.000411 -0.000084
0.510000 0.260214 0.000954 -0.000110
0.520000 0.268118 -0.007333 -0.000132
0.530000 0.269544 -0.010711 0.000002
0.540000 0.273954 -0.001570 -0.000254
0.550000 0.279573 -0.004502 -0.000076
0.560000 0.278797 -0.005560 -0.000123
0.570000 0.288231 -0.000837 -0.000068
0.580000 0.293032 -0.004808 -0.000051
0.590000 0.301232 -0.008365 -0.000193
0.600000 0.304478 -0.004667 -0.000179
0.610000 0.305605 -0.007253 0.000066
0.620000 0.319240 -0.001733 -0.000330
0.630000 0.316100 -0.000674 0.000017
0.640000 0.320320 -0.008324 -0.000304
0.650000 0.332070 -0.010947 -0.000260
0.660000 0.320369 0.002421 -0.000083
0.670000 0.339224 -0.004083 -0.000129
0.680000 0.346082 -0.004146 -0.000242
0.690000 0.344304 -0.007718 -0.000143
0.700000 0.356744 -0.005023 -0.000163
0.710000 0.355061 -0.006195 -0.000181
0.720000 0.365525 -0.011553 -0.000137
0.730000 0.359371 0.001033 0.000027
0.740000 0.370559 -0.011187 -0.000053
0.750000 0.372794 -0.002839 -0.000230
0.760000 0.383866 0.004590 -0.000168
0.770000 0.390569 -0.010936 -0.000166
0.780000 0.388316 -0.005493 -0.000159
0.790000 0.401178 0.004441 -0.000235
0.800000 0.407778 -0.005186 -0.000150
0.810000 0.407381 -0.007791 -0.000300
0.820000 0.413895 -0.014723 -0.000126
0.830000 0.420581 -0.002929 -0.000094
0.840000 0.426104 -0.015918 -0.000127
0.850000 0.429451 -0.002879 -0.000050
0.860000 0.436214 -0.006004 -0.000230
0.870000 0.439641 -0.010681 -0.000165
0.880000 0.448947 -0.002512 -0.000028
0.890000 0.448066 -0.006437 -0.000165
